cast
50 Cent
A.J. Cook
Aaliyah
Aamir Khan
Aaron Abrams
Aaron Eckhart
Aaron Paul
Aaron Poole
Aaron Taylor-Johnson
Abbi Jacobson
Abbie Cornish
Abhinay Raj Singh
Abhishek Bachchan
Abigail Breslin
Abigail Spencer
Abraham Attah
Adah Sharma
Adam Bakri
Adam Beach
Adam Bousdoukos
Adam Brody
Adam Butcher
Adam Chubbuck
Adam Devine
Adam Driver
Adam Kaufman
Adam Sandler
Adam Scott
Adar Beck
Adarsh Gourav
Adel Karam
Adèle Haenel
Adewale Akinnuoye-Agbaje
Aditya Roy Kapoor
Adivi Sesh
Adrian Grenier
Adrian Titieni
Adriana Ugarte
Adriano Tardiolo
Adrien Brody
Adrienne Shelly
Agata Kulesza
Agnes Bruckner
Agniya Kuznetsova
Ahmad Harhash
Ahmet Ugurlu
Ai Kobayashi
Aimee Teegarden
Aisling Franciosi
Aitana Sánchez-Gijón
Ajay Devgn
Ajith Kumar
Akiko Iwase
Akio Ôtsuka
Akira Terao
Aksel Hennie
Akshay Kumar
Akshaye Khanna
Al Pacino
Alan Arkin
Alan Rickman
Alan Ritchson
Alan Young
Alana Haim
Alban Lenoir
Albert Brooks
Alden Ehrenreich
Alec Baldwin
Alec Newman
Alejo Sauras
Alek Skarlatos
Aleksey Guskov
Aleksey Kopashov
Aleksey Serebryakov
Alessandro Nivola
Álex Angulo
Alex Cox
Alex Essoe
Alex Etel
Alex Neustaedter
Alex Pettyfer
Alex Roe
Alex Sharp
Alex Veadov
Alex Vincent
Alexa PenaVega
Alexander Petrov
Alexander Skarsgård
Alexandra Borbély
Alexandra Daddario
Alexandra Dahlström
Alexandre Rodrigues
Alexis Bledel
Alexis Denisof
Alexsandra Wright
Alfre Woodard
Alfredo Castro
Ali Wong
Alia Bhatt
Alia Shawkat
Alican Akman
Alice Englert
Alice Lowe
Alice Rahimi
Alicia Silverstone
Alicia Vikander
Alisha Weir
Alison Brie
Alison Lohman
Alison Steadman
Allegra Masters
Allen Covert
Allison Dawn Doiron
Allison Janney
Allison Williams
Allu Arjun
Aly Michalka
Alycia Debnam-Carey
Alyssa Milano
Alysson Paradis
Amala Paul
Amanda Bynes
Amanda Schull
Amanda Seyfried
Amandla Stenberg
Amber Heard
Amber Midthunder
Amber Tamblyn
America Ferrera
Amir Jadidi
Amitabh Bachchan
Aml Ameen
Amy Adams
Amy Landecker
Amy Poehler
Amy Ryan
Amy Schumer
Amy Seimetz
Ana de Armas
Ana de la Reguera
Ana Torrent
Anabel Alonso
Anamaria Marinca
Ananda Everingham
Anastasia Hille
Anders Danielsen Lie
Anders Juul
Anders W. Berthelsen
Andie MacDowell
Andra Day
André 3000
André Szymanski
André Wilms
Andrea Berntzen
Andrea Riseborough
Andreas Wilson
Andrew Dice Clay
Andrew Garfield
Andrew Jacobs
Andrew Lawrence
Andrew Sensenig
Andrzej Chyra
Andy Garcia
Andy Lau
Andy Powers
Andy Samberg
Andy Serkis
Andy Whitfield
Anessa Ramsey
Angela Bassett
Angela Bettis
Angelica Lee
Angelina Jolie
Angourie Rice
Anika Noni Rose
Anil Kapoor
Anjelica Huston
Ann Dowd
Anna Chlumsky
Anna Faris
Anna Hopkins
Anna Katharina Schwabroh
Anna Kendrick
Anna Paquin
Anna Pniowsky
Annabella Sciorra
Annabelle Wallis
AnnaLynne McCord
AnnaSophia Robb
Anne Alvaro
Anne Dorval
Anne Hathaway
Anne Heche
Anne Parillaud
Anneli Sauli
Annette Bening
Ansel Elgort
Anthony Chau-Sang Wong
Anthony Gonzalez
Anthony Hopkins
Anthony LaPaglia
Anthony Mackie
Anthony Ramos
Anton Pampushnyy
Anton Yelchin
Antonia Campbell-Hughes
Antonio Aakeel
Antonio Banderas
Antonio de la Torre
Anya Taylor-Joy
Aoi Miyazaki
Aomi Muyock
Aras Bulut Iynemli
Arata Iura
Ari Graynor
Armie Hammer
Arno Frisch
Arnold Schwarzenegger
Artur Smolyaninov
Artyom Bystrov
Arvind Swami
Asa Butterfield
Ashish Chhipa
Ashley Bratcher
Ashley Greene
Ashley Judd
Ashley Tisdale
Ashton Kutcher
Asia Argento
Atsuko Tanaka
Aubrey Plaza
Audrey Tautou
August Diehl
Auli'i Cravalho
Ava Michelle
Ayako Fujitani
Ayushmann Khurrana
Azhy Robertson
B.J. Novak
Bai Ling
Bajram Severdzan
Baki Davrak
Balthazar Getty
Bárbara Colen
Bárbara Lennie
Barbara Sukowa
Barbra Streisand
Barney Clark
Barry G. Bernson
Barry Pepper
Bartosz Bielenia
Batsheva Dance Company
Beau Billingslea
Behzad Dorani
Bel Powley
Belén Fabra
Belén Rueda
Bella Thorne
Bellina Logan
Ben Affleck
Ben Barnes
Ben Burtt
Ben Foster
Ben Kingsley
Ben Mendelsohn
Ben Platt
Ben Schwartz
Ben Silverstone
Ben Stiller
Ben Whishaw
Benedict Cumberbatch
Benicio Del Toro
Benjamin Bratt
Benjamin Helstad
Benjamin Walker
Benjamin Wilkinson
Benno Fürmann
Benoît Poelvoorde
Berant Zhu
Bérénice Bejo
Bertram Bisgaard Enevoldsen
Bette Midler
Betty Gilpin
Beyoncé
Biljana Cekic
Bill Bailey
Bill Farmer
Bill Goldberg
Bill Hader
Bill Milner
Bill Murray
Bill Nighy
Bill Paxton
Bill Pullman
Bill Sage
Bill Skarsgård
Billy Barratt
Billy Bob Thornton
Billy Campbell
Billy Crudup
Billy Crystal
Billy Eichner
Billy Howle
Billy Zane
Bin Shimada
Bing Shao
Birol Ünel
Björk
Blake Jenner
Blake Lively
Blanca Suárez
Blanchard Ryan
Blayne Weaver
Bob Boyd
Bob Newhart
Bob Odenkirk
Bojana Novakovic
Boyd Holbrook
Brad Garrett
Brad Pitt
Brad Renfro
Bradley Cooper
Brady Corbet
Brady Jandreau
Brandon Lee
Brandon Quintin Adams
Brandon Routh
Branko Djuric
Breckin Meyer
Brenda Blethyn
Brendan Fletcher
Brendan Fraser
Brendan Gleeson
Brenton Thwaites
Brian Bonsall
Brian Cox
Brian Krause
Brian O'Halloran
Brian Presley
Briana Evigan
Brianna Hildebrand
Bridget Fonda
Bridgit Mendler
Brie Larson
Brigitte Lin
Brit Marling
Britt Robertson
Brittany Allen
Brittany Murphy
Brittany Snow
Brooke Shields
Brooklynn Prince
Bruce Campbell
Bruce Dern
Bruce Greenwood
Bruce Ramsay
Bruce Willis
Bruno Ganz
Bryan Brown
Bryan Cranston
Bryce Dallas Howard
Çagatay Ulusoy
Caglar Ertugrul
Caitlin Stasey
Caity Lotz
Caleb Landry Jones
Calista Flockhart
Callan McAuliffe
Callum Turner
Calvin Lee Reeder
Cameron Diaz
Camila Mendes
Camilla Belle
Camille Rowe
Camille Sullivan
Campbell Scott
Carey Mulligan
Carice van Houten
Carla Gugino
Carla Juri
Carlo Cecchi
Carlos Acosta
Carlos Alazraqui
Carlos Areces
Carlos Gallardo
Carmen Maura
Carmiña Martínez
Caroline Ducey
Carolyn Farina
Carrie Coon
Carrie Crowley
Cary Elwes
Casey Affleck
Casper Van Dien
Catalina Sandino Moreno
Cate Blanchett
Catherine Deneuve
Catherine Keener
Catherine McCormack
Catherine Zeta-Jones
Cathy Cavadini
Cécile de France
Cecilia Roth
Cem Yilmaz
Çetin Tekindor
Chace Crawford
Chad McKnight
Chad Michael Murray
Chad Villella
Chadwick Boseman
Chang Chen
Channing Tatum
Chantal Quesnelle
Chao Deng
Charles Aznavour
Charles Grodin
Charlie Booty
Charlie Cox
Charlie Creed-Miles
Charlie Day
Charlie Hunnam
Charlie Plummer
Charlie Rowe
Charlie Sheen
Charlie Shotwell
Charlize Theron
Charlotte Gainsbourg
Charlotte McKinney
Charlotte Rampling
Charlotte Vega
Chase Williamson
Châu Belle Dinh
Cher
Chevy Chase
Chiara Mastroianni
Chieko Baishô
Chinatsu Akasaki
Chiwetel Ejiofor
Chizuru Ikewaki
Chloe Bennet
Chloe Csengery
Chloë Grace Moretz
Chloë Sevigny
Choi Min-sik
Chow Yun-Fat
Chris Brown
Chris Carmack
Chris Colfer
Chris Cooper
Chris Evans
Chris Farley
Chris Grabher
Chris Hemsworth
Chris Isaak
Chris Kattan
Chris Klein
Chris Massoglia
Chris Messina
Chris O'Donnell
Chris O'Dowd
Chris Pine
Chris Pratt
Chris Rock
Christian Bale
Christian Clavier
Christian Cooke
Christian Friedel
Christian Slater
Christina Applegate
Christina Hendricks
Christina Milian
Christina Ricci
Christine Cavanaugh
Christine Woods
Christoph Waltz
Christopher Denham
Christopher Eccleston
Christopher Guest
Christopher Lambert
Christopher Lloyd
Christopher Plummer
Christopher Reeve
Christopher Reid
Christopher Soren Kelly
Christopher Walken
Christos Stergioglou
Chuck Cooper
Chutimon Chuengcharoensukying
Chyler Leigh
Cillian Murphy
Claes Bang
Claire Danes
Claire Foy
Clara Galle
Clara Lago
Claude Baz Moussawbaa
Claude Perron
Claudio Santamaria
Clémence Poésy
Clif Prowse
Clint Eastwood
Clive Owen
Cole Hauser
Colin Farrell
Colin Firth
Colin Hanks
Colin O'Donoghue
Colin Woodell
Colm Meaney
Columbus Short
Conner Chapman
Connor Paolo
Constance Wu
Cooper Raiff
Corbin Allred
Cosmina Stratan
Courteney Cox
Craig Bierko
Craig Roberts
Craig Sheffer
Craig T. Nelson
Crispin Glover
Crystal Fox
Crystal Reed
Csaba Czene
Cuba Gooding Jr.
Cynthea Mercado
Cynthia Erivo
Cyril Raffaelli
D.B. Sweeney
Dacre Montgomery
Daiki Yamashita
Daisy Edgar-Jones
Daisy Head
Daisy Ridley
Dakota Fanning
Dakota Johnson
Dali Benssalah
Damián Alcázar
Damian Chapa
Damian Walshe-Howling
Damien Bonnard
Damon Wayans
Dan Aykroyd
Dan Castellaneta
Dan Fogler
Dan Stevens
Dane Cook
Dane DeHaan
Daniel Auteuil
Daniel Brühl
Daniel Craig
Daniel Day-Lewis
Daniel Doheny
Daniel Giménez Cacho
Daniel Hansen
Daniel Kaluuya
Daniel MacPherson
Daniel Radcliffe
Daniela Vega
Daniella Alonso
Danielle Deadwyler
Danielle Harris
Danielle Macdonald
Danielle Panabaker
Danny DeVito
Danny Dyer
Danny Elfman
Danny Glover
Danny McBride
Danny Trejo
Dany Boon
Dar Salim
Darby Camp
Darío Grandinetti
Darshan Thoogudeep
Darsheel Safary
Dave Bautista
Dave Chappelle
Dave Goelz
Dave Grohl
Dave Johns
Daveed Diggs
Daveigh Chase
David Alan Basche
David Anders
David Arquette
David Caruso
David Coffin
David Dencik
David Duchovny
David Elliot
David Harbour
David Lee Smith
David Oyelowo
David Rawle
David Schwimmer
David Spade
David Strathairn
David Tennant
David Thewlis
Dax Shepard
Dean-Charles Chapman
Debbie Harry
Debi Derryberry
Debra Winger
Deepika Padukone
Delroy Lindo
Demetri Martin
Demetrius Shipp Jr.
Demi Lovato
Demi Moore
Demián Bichir
Denis Lavant
Denis Leary
Denise Black
Dennis Miller
Dennis Quaid
Denzel Washington
Derek Luke
Dermot Mulroney
Dev Patel
Devon Gummersall
Devon Sawa
Devrim Evin
Dhanush
Diana Glenn
Diane Keaton
Diane Kruger
Diane Lane
Diedrich Bader
Diego Abatantuono
Diego Klattenhoff
Diego Luna
Diogo Morgado
DJ Qualls
Djimon Hounsou
Dogu Demirkol
Dolph Lundgren
Domhnall Gleeson
Dominic Cooper
Dominic Monaghan
Dominic Purcell
Dominique Blanc
Dominique Horwitz
Don Cheadle
Don Johnson
Donald Glover
Donald Sutherland
Dongyu Zhou
Donnie Wahlberg
Donnie Yen
Doru Ana
Doudou Gueye Thiaw
Douglas Booth
Douglas Silva
Dougray Scott
Dragan Bjelogrlic
Drew Barrymore
Drew Fuller
Dulquer Salmaan
Duncan
Dustin Hoffman
Dwayne Johnson
Dylan McDermott
Dylan O'Brien
Dyllan Christopher
Ebru Ceylan
Ed Harris
Ed Helms
Ed O'Neill
Ed Oxenbould
Ed Skrein
Ed Speleers
Eddie Griffin
Eddie Murphy
Eddie Redmayne
Eden Dambrine
Eden Duncan-Smith
Edgar Ramírez
Edison Chen
Eduardo Noriega
Eduardo Verástegui
Edward Asner
Edward Burns
Edward Furlong
Edward Norton
Eero Aho
Eihi Shiina
Eileen Walsh
Eili Harboe
Elena Anaya
Eli Marienthal
Elijah Wood
Elio Germano
Elisabeth Harnois
Elisabeth Helander
Elisabeth Moss
Elisabeth Shue
Eliza Dushku
Eliza Scanlen
Eliza Taylor
Elizabeth Banks
Elizabeth Daily
Elizabeth Lail
Elizabeth Olsen
Elizabeth Reaser
Ella Hunt
Ellar Coltrane
Elle Fanning
Ellen Barkin
Ellen Burstyn
Ellen DeGeneres
Elliot Cowan
Elliot Page
Elsie Fisher
Elyas M'Barek
Emelie Garbers
Emile Hirsch
Emilia Clarke
Emilia Jones
Émilie Dequenne
Emilio Echevarría
Emilio Estevez
Emily Bader
Emily Baldoni
Emily Blunt
Emily Browning
Emily Mortimer
Emily Perkins
Emily Watson
Eminem
Emma Booth
Emma Caulfield Ford
Emma Corrin
Emma Roberts
Emma Stone
Emma Suárez
Emma Thompson
Emma Watson
Emmanuel Garijo
Emmanuelle Seigner
Engin Günaydin
Enrique Diaz
Eric André
Eric Bana
Eric Christian Olsen
Eric Elmosnino
Eric Stoltz
Erika Linder
Erin Kelly
Erkan Can
Essie Davis
Esther Purves-Smith
Ethan Embry
Ethan Hawke
Eugenio Derbez
Eva Birthistle
Eva Bourne
Eva Green
Eva Longoria
Eva Melander
Eva Noblezada
Evan McGuire
Evan Rachel Wood
Evangeline Lilly
Everlyn Sampi
Ewan McGregor
Ezra Godden
Ezra Miller
Fabrice Luchini
Fabrizio Bentivoglio
Fahadh Faasil
Famke Janssen
Fanny Ardant
Fares Fares
Federico Ielapi
Federico Luppi
Felicity Huffman
Felicity Jones
Felicity Mason
Felix Kammerer
Félix Lefebvre
Ferdia Walsh-Peelo
Fernanda Montenegro
Fernando Fernán Gómez
Filippo Scotti
Fin Argus
Fionn O'Shea
Fionn Whitehead
Flex Alexander
Florence Pugh
Forest Whitaker
Frances McDormand
Frances O'Connor
François Bégaudeau
François Civil
François Cluzet
François Damiens
Frank Gingerich
Frank Grillo
Frank Lammers
Frank Langella
Frank Whaley
Franka Potente
Frankie Muniz
Franz Rogowski
Fred Ward
Fred Willard
Freddie Highmore
Freddie Prinze Jr.
Freida Pinto
Friedrich Mücke
Gabe Nevins
Gabourey Sidibe
Gabriel Byrne
Gabriella Wilde
Gabrielle Anwar
Gabrielle Union
Gad Elmaleh
Gael García Bernal
Gaia Weiss
Gal Gadot
Gang Dong-won
Garance Marillier
Garret Dillahunt
Gary Oldman
Gaspard Schlatter
Gaspard Ulliel
Geena Davis
Geir Vegar Hoel
Gemma Arterton
Gemma Chan
Gena Rowlands
Gene Hackman
Geoffrey Rush
George Babluani
George C. Scott
George Clooney
George Lopez
George MacKay
Georges Corraface
Georgia Groome
Georgina Campbell
Gerard Butler
Gérard Depardieu
Gérard Jugnot
Gerardo Taracena
Géza Röhrig
Ghassan Massoud
Ghilherme Lobo
Gianfelice Imparato
Gideon Adlon
Gijs Blom
Gilbert Traïna
Gilles Lellouche
Gillian Anderson
Gina Carano
Gina Gershon
Gina Philips
Gina Rodriguez
Ginnifer Goodwin
Giovanna Mezzogiorno
Giovanni Ribisi
Giuseppe Battiston
Glen Berry
Glen Campbell
Glen Hansard
