director
A.L. Vijay
A.R. Murugadoss
Aamir Khan
Aanand L. Rai
Aaron Blaise
Aaron Hann
Aaron Horvath
Aaron Nee
Aaron Schneider
Aaron Sorkin
Abbas Kiarostami
Abby Kohn
Abdellatif Kechiche
Abderrahmane Sissako
Abe Forsythe
Abel Ferrara
Abhishek Pathak
Abhishek Sharma
Adam Berg
Adam Brooks
Adam Elliot
Adam Green
Adam Kassen
Adam MacDonald
Adam McKay
Adam Randall
Adam Rifkin
Adam Robitel
Adam Salky
Adam Shankman
Adam Wingard
Aditya Chopra
Aditya Dhar
Adrian Edmondson
Adrian Grunberg
Adrian Lyne
Adrian Vitoria
Adrienne Shelly
Advait Chandan
Afonso Poyart
Ágnes Hranitzky
Agnès Jaoui
Agnieszka Holland
Agnieszka Wojtowicz-Vosloo
Agustín Díaz Yanes
Aharon Keshales
Aisling Walsh
Ajay Bahl
Ajay Devgn
Ajay Singh
Akan Satayev
Aki Kaurismäki
Akiva Goldsman
Akiva Schaffer
Aku Louhimies
Alain Chabat
Alain Darborg
Alain Desrochers
Alain Guiraudie
Alan Ball
Alan Cohn
Alan J. Pakula
Alan Parker
Alan Poul
Alan Rickman
Alan Shapiro
Alan Taylor
Albert Brooks
Albert Calleros
Albert Dupontel
Albert Hughes
Alberto Rodríguez
Alejandro Agresti
Alejandro Amenábar
Alejandro G. Iñárritu
Alejandro Landes
Alejandro Monteverde
Alek Keshishian
Aleksander Bach
Aleksandr Kott
Aleksandr Sokurov
Aleksey Balabanov
Aleksey Sidorov
Alessandro Carloni
Alex Brewer
Álex de la Iglesia
Alex Garland
Alex Gregory
Alex Hardcastle
Alex Kendrick
Alex Kurtzman
Alex Lehmann
Àlex Pastor
Alex Proyas
Alex Richanbach
Alex Turner
Alex van Warmerdam
Alex Zamm
Alexander Payne
Alexander Witt
Alexandra-Therese Keining
Alexandre Aja
Alexandre Astier
Alexandre Bustillo
Alfonso Arau
Alfonso Cuarón
Alfonso Gomez-Rejon
Ali Abbasi
Ali Atay
ALi Khan AK
Ali Taner Baltaci
Alice Rohrwacher
Alice Waddington
Alice Wu
Aline Brosh McKenna
Alister Grierson
Allan Moyle
Allen Coulter
Allen Hughes
Allison Anders
Allison Burnett
Alma Har'el
Alper Caglar
Álvaro Brechner
Ami Canaan Mann
Amit Masurkar
Amma Asante
Amol Palekar
Amy Heckerling
Amy Poehler
Ana Lily Amirpour
Anand Tucker
Anders Thomas Jensen
Anders Walter
André Øvredal
Andrea Arnold
Andrea Berloff
Andrea Di Stefano
Andreas Prochaska
Andrés Baiz
Andrés Wood
Andrew Adamson
Andrew Ahn
Andrew Bergman
Andrew Currie
Andrew Davis
Andrew Dominik
Andrew Douglas
Andrew Erwin
Andrew Fleming
Andrew Haigh
Andrew Jarecki
Andrew Jay Cohen
Andrew Lau
Andrew Levitas
Andrew Niccol
Andrew Patterson
Andrew Stanton
Andrew Traucki
Andrey Volgin
Andrey Zvyagintsev
Andrzej Bartkowiak
Andrzej Sekula
Andrzej Wajda
Andy Cadiff
Andy Fickman
Andy Muschietti
Andy Serkis
Andy Tennant
Anees Bazmee
Aneesh Chaganty
Ang Lee
Ángel Gómez Hernández
Angela Robinson
Angelina Jolie
Angus MacLane
Anh Hung Tran
Anirudh Iyer
Anjali Menon
Anna Biller
Anna Boden
Anna Foerster
Anna Muylaert
Anne Fletcher
Anne Fontaine
Ant Timpson
Anthony Bell
Anthony Burns
Anthony Byrne
Anthony DiBlasi
Anthony Drazan
Anthony Fabian
Anthony Hayes
Anthony Hemingway
Anthony Hickox
Anthony Maras
