tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,director,writer,cast
tt0035423,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",6.4,86674.0,James Mangold,Steven Rogers,Meg Ryan
tt0098532,Tulitikkutehtaan tyttö,1990,69,"Comedy,Crime,Drama",7.5,10240.0,Aki Kaurismäki,Aki Kaurismäki,Kati Outinen
tt0098966,3 Men and a Little Lady,1990,104,"Comedy,Drama,Family",5.4,25580.0,Emile Ardolino,Coline Serreau,Tom Selleck
tt0098987,The Adventures of Ford Fairlane,1990,104,"Action,Adventure,Comedy",6.4,18690.0,Renny Harlin,Daniel Waters,Andrew Dice Clay
tt0099005,Air America,1990,113,"Action,Comedy,War",5.8,29568.0,Roger Spottiswoode,Christopher Robbins,Mel Gibson
tt0099012,Alice,1990,106,"Comedy,Romance",6.6,14753.0,Woody Allen,Woody Allen,Mia Farrow
tt0099044,Another 48 Hrs.,1990,95,"Action,Comedy,Crime",5.9,43026.0,Walter Hill,John Fasano,Eddie Murphy
tt0099052,Arachnophobia,1990,109,"Comedy,Horror,Thriller",6.5,72344.0,Frank Marshall,Don Jakoby,Jeff Daniels
tt0099077,Awakenings,1990,121,"Biography,Drama",7.8,148514.0,Penny Marshall,Oliver Sacks,Robert De Niro
tt0099088,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.4,459560.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox
tt0099091,Bad Influence,1990,99,"Drama,Thriller",6.3,10255.0,Curtis Hanson,David Koepp,Rob Lowe
tt0099141,Bird on a Wire,1990,110,"Action,Comedy",6.0,46018.0,John Badham,Louis Venosta,Mel Gibson
tt0099160,Blue Steel,1990,102,"Action,Crime,Drama",5.8,16508.0,Kathryn Bigelow,Kathryn Bigelow,Jamie Lee Curtis
tt0099165,The Bonfire of the Vanities,1990,125,"Comedy,Drama,Romance",5.6,25847.0,Brian De Palma,Michael Cristofer,Tom Hanks
tt0099180,Bride of Re-Animator,1990,96,"Comedy,Horror,Sci-Fi",6.2,16703.0,Brian Yuzna,Zeph E. Daniel,Jeffrey Combs
tt0099204,Cadillac Man,1990,97,"Comedy,Crime",5.7,14940.0,Roger Donaldson,Ken Friedman,Robin Williams
tt0099253,Child's Play 2,1990,84,"Horror,Thriller",5.9,54312.0,John Lafia,Don Mancini,Alex Vincent
tt0099329,Cry-Baby,1990,85,"Comedy,Musical",6.5,62395.0,John Waters,John Waters,Johnny Depp
tt0099334,Cyrano de Bergerac,1990,137,"Comedy,Drama,History",7.5,25053.0,Jean-Paul Rappeneau,Edmond Rostand,Gérard Depardieu
tt0099348,Dances with Wolves,1990,181,"Adventure,Drama,Western",8.0,275708.0,Kevin Costner,Michael Blake,Kevin Costner
tt0099365,Darkman,1990,96,"Action,Sci-Fi,Thriller",6.4,66980.0,Sam Raimi,Sam Raimi,Liam Neeson
tt0099371,Days of Thunder,1990,107,"Action,Drama,Sport",6.1,92172.0,Tony Scott,Robert Towne,Tom Cruise
tt0099385,Death Warrant,1990,89,"Action,Crime,Mystery",5.7,19737.0,Deran Sarafian,David S. Goyer,Jean-Claude Van Damme
tt0099422,Dick Tracy,1990,105,"Action,Comedy,Crime",6.2,63663.0,Warren Beatty,Chester Gould,Warren Beatty
tt0099423,Die Hard 2,1990,124,"Action,Thriller",7.1,370168.0,Renny Harlin,Steven E. de Souza,Bruce Willis
tt0099426,Dip huet gai tau,1990,136,"Action,Crime,Drama",7.5,11189.0,John Woo,Janet Chun,Tony Leung Chiu-wai
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,1990,74,"Adventure,Animation,Comedy",6.8,27769.0,Bob Hathcock,Alan Burnett,Alan Young
tt0099487,Edward Scissorhands,1990,105,"Drama,Fantasy,Romance",7.9,502033.0,Tim Burton,Tim Burton,Johnny Depp
tt0099528,The Exorcist III,1990,110,"Drama,Horror,Mystery",6.5,34273.0,William Peter Blatty,William Peter Blatty,George C. Scott
tt0099558,Fei ying gai wak,1991,106,"Action,Adventure,Comedy",7.2,21593.0,Jackie Chan,Jackie Chan,Jackie Chan
tt0099582,Flatliners,1990,115,"Drama,Horror,Sci-Fi",6.5,89814.0,Joel Schumacher,Peter Filardi,Kiefer Sutherland
tt0099611,Frankenhooker,1990,85,"Comedy,Horror,Sci-Fi",6.2,12003.0,Frank Henenlotter,Robert Martin,James Lorinz
tt0099615,The Freshman,1990,102,"Comedy,Crime",6.4,21238.0,Andrew Bergman,Andrew Bergman,Marlon Brando
tt0099653,Ghost,1990,127,"Drama,Fantasy,Romance",7.1,224969.0,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze
tt0099674,The Godfather Part III,1990,162,"Crime,Drama",7.6,406901.0,Francis Ford Coppola,Mario Puzo,Al Pacino
tt0099685,GoodFellas,1990,145,"Biography,Crime,Drama",8.7,1188476.0,Martin Scorsese,Nicholas Pileggi,Robert De Niro
tt0099699,Green Card,1990,107,"Comedy,Drama,Romance",6.3,25142.0,Peter Weir,Peter Weir,Gérard Depardieu
tt0099700,Gremlins 2: The New Batch,1990,106,"Comedy,Fantasy,Horror",6.4,107765.0,Joe Dante,Charles S. Haas,Zach Galligan
tt0099703,The Grifters,1990,110,"Crime,Drama,Thriller",6.9,29117.0,Stephen Frears,Jim Thompson,Anjelica Huston
tt0099726,Hamlet,1990,135,Drama,6.7,23014.0,Franco Zeffirelli,William Shakespeare,Mel Gibson
tt0099731,The Handmaid's Tale,1990,109,"Drama,Romance,Sci-Fi",6.0,10155.0,Volker Schlöndorff,Margaret Atwood,Natasha Richardson
tt0099739,Hard to Kill,1990,96,"Action,Crime,Drama",5.8,31225.0,Bruce Malmuth,Steven McKay,Steven Seagal
tt0099740,Hardware,1990,94,"Sci-Fi,Thriller",5.9,15887.0,Richard Stanley,Steve MacManus,Dylan McDermott
tt0099762,Henry & June,1990,136,"Biography,Drama",6.3,13675.0,Philip Kaufman,Anaïs Nin,Fred Ward
tt0099776,Europa Europa,1990,112,"Drama,History,War",7.6,16877.0,Agnieszka Holland,Agnieszka Holland,Marco Hofschneider
tt0099785,Home Alone,1990,103,"Comedy,Family",7.7,603249.0,Chris Columbus,John Hughes,Macaulay Culkin
tt0099797,The Hot Spot,1990,130,"Crime,Drama,Romance",6.4,12669.0,Dennis Hopper,Charles Williams,Don Johnson
tt0099800,House Party,1990,100,"Comedy,Music,Romance",6.5,15944.0,Reginald Hudlin,Reginald Hudlin,Christopher Reid
tt0099810,The Hunt for Red October,1990,135,"Action,Adventure,Thriller",7.5,206413.0,John McTiernan,Tom Clancy,Sean Connery
tt0099817,Dark Angel,1990,91,"Action,Crime,Horror",6.1,12983.0,Craig R. Baxley,Jonathan Tydor,Dolph Lundgren
tt0099819,I Love You to Death,1990,97,"Comedy,Crime",6.4,15005.0,Lawrence Kasdan,John Kostmayer,Kevin Kline
tt0099850,Internal Affairs,1990,115,"Crime,Drama,Thriller",6.5,21442.0,Mike Figgis,Henry Bean,Richard Gere
