writer
A.A. Milne
A.E.W. Mason
A.J. Quinnell
A.L. Vijay
A.R. Murugadoss
A.S. Byatt
Aakash Kaushik
Aaron Abrams
Aaron Blabey
Aaron Guzikowski
Aaron Hann
Aaron Kandell
Aaron Rahsaan Thomas
Aaron Sorkin
Aastha Tiku
Abbas Dalal
Abbas Kiarostami
Abbas Tyrewala
Abby Johnson
Abby Kohn
Abdel Raouf Dafri
Abdellatif Kechiche
Abderrahmane Sissako
Abdi Nazemian
Abe Forsythe
Abhijat Joshi
Abhiruchi Chand
Abi Morgan
Adam 'Tex' Davis
Adam Alleca
Adam Berg
Adam Brooks
Adam Cooper
Adam Cozad
Adam Elliot
Adam Fields
Adam G. Simon
Adam Green
Adam Herz
Adam Hirsch
Adam J. Braff
Adam Kreutner
Adam Leff
Adam MacDonald
Adam Marcus
Adam Mazer
Adam McKay
Adam Mervis
Adam Minarovich
Adam Resnick
Adam Rifkin
Adam Robitel
Adam Rockoff
Adam Sandler
Adam Scheinman
Adam Simon
Adam Sztykiel
Adi Hasak
Aditya Chopra
Aditya Dhar
Adivi Sesh
Adolf Burger
Adrian Edmondson
Adrian Hodges
Adrienne Shelly
Agnieszka Holland
Agnieszka Wojtowicz-Vosloo
Aharon Keshales
Ahmed Hamidi
Ahmed Mourad
Aidan Chambers
Aimee Lagos
Akbar Allahabadi
Akela Cooper
Akhilesh Jaiswal
Aki Kaurismäki
Akimi Yoshida
Akira Kurosawa
Akira Toriyama
Akiva Goldsman
Alain Darborg
Alain Gagnol
Alain Godard
Alain Guiraudie
Alan B. McElroy
Alan Ball
Alan Bennett
Alan Burnett
Alan Dershowitz
Alan Mak
Alan Martin
Alan McDonald
Alan Moore
Alan R. Cohen
Alan Schoolcraft
Alan Shapiro
Alan Sharp
Alan Trezza
Alan Trustman
Alan Yuen
Alan Zweibel
Albert Brooks
Albert Dupontel
Albert Hackett
Albert S. Ruddy
Albert Torres
Alberto Marini
Alec Berg
Alejandro Amenábar
Alejandro G. Iñárritu
Alejandro Landes
Alejandro Monteverde
Alek Keshishian
Aleksandar Radivojevic
Aleksey Balabanov
Aleksey Dudarev
Aleksey Samolyotov
Aleksey Sidorov
Alessandro Baricco
Alessandro Camon
Alex Convery
Alex Cotet
Álex de la Iglesia
Alex Garland
Alex Gregory
Alex Kendrick
Alex Kurtzman
Alex Lasker
Alex Litvak
Àlex Pastor
Alex Proyas
Alex van Warmerdam
Alex von Tunzelmann
Alexander Payne
Alexander Stuart
Alexander Trocchi
Alexander Weinstein
Alexandra Rose
Alexandra-Therese Keining
Alexandre Aja
Alexandre Bustillo
Alexandre de La Patellière
Alexandre Dumas
Alexi Kaye Campbell
Alfonso Cuarón
Alfred Cheung
Alfred Gough
Ali Abbasi
Ali Atay
Ali Wong
Alice Addison
Alice Hoffman
Alice Johnson Boher
Alice Lowe
Alice Rohrwacher
Alice Wu
Aline Brosh McKenna
Alison Peck
Aliya Nazarbayeva
Allan Heinberg
Allan Knee
Allan Loeb
Allan Moyle
Allen Covert
Allen Hughes
Allison Anders
Allison Burnett
Allison Schroeder
Ally Carter
Alok Jha
Alonzo Brown
Alper Caglar
Álvaro Brechner
Alvin Sargent
Amanda Brody
Amanda Brown
Amanda Silver
Amole Gupte
Amos Vernon
Amro Hamzawi
Amy Andelson
Amy Heckerling
Amy Jump
Amy Schumer
Amy Tan
Amyn Kaderali
Ana Lily Amirpour
Anaïs Nin
Anckur Chaudhry
Anders Holm
Anders Nyberg
Anders Thomas Jensen
André Bijelic
André Cayatte
Andre Dubus
Andre Dubus III
André Øvredal
Andrea Arnold
Andrea Berloff
Andrea Chalupa
Andrea Di Stefano
Andrea Portes
Andrea Seigel
Andrés Duprat
Andrew Adamson
Andrew Baldwin
Andrew Barrer
Andrew Bergman
Andrew Birkin
Andrew Bovell
Andrew Bujalski
Andrew Cosby
Andrew Davies
Andrew Dodge
Andrew Dominik
Andrew Fleming
Andrew Haigh
Andrew Hilton
Andrew Jay Cohen
Andrew Kevin Walker
Andrew Klavan
Andrew Knauer
Andrew Knight
Andrew Lowery
Andrew Neiderman
Andrew Niccol
Andrew Patterson
Andrew Scheinman
Andrew Shaw
Andrew Stanton
Andrew Stern
Andrew Traucki
Andrew W. Marlowe
Andrey Anaykin
Andris Feldmanis
Andrzej Mularczyk
Andy Bellin
Andy Breckman
Andy Cochran
Andy Hamilton
Andy Mulligan
Andy Muschietti
Andy Samberg
Andy Siara
Andy Weiss
Aneesh Chaganty
Ang Lee
Angela Pell
Angela Robinson
Angela Russo-Otstot
Angela Sommer-Bodenburg
Angela Workman
Angelina Jolie
Angelo Pizzo
Angus MacLachlan
Angus MacLane
Anirudh Iyer
Anita Doron
Anjali Menon
Ann Biderman
Ann Brashares
